field,value,source_doi,source_pdf,char_span
instrument,21 T FT-ICR mass spectrometer,10.1007/s13361-017-1702-3,10_1007_s13361-017-1702-3.pdf,"[59, 88]"
ionization_method,electrospray,10.1007/s13361-017-1702-3,10_1007_s13361-017-1702-3.pdf,"[667, 679]"
sample_type,fluoranthene anions,10.1007/s13361-017-1702-3,10_1007_s13361-017-1702-3.pdf,"[1250, 1269]"
instrument,Velos Pro dual cell rf ion trap assembly,10.1007/s13361-017-1702-3,10_1007_s13361-017-1702-3.pdf,"[2065, 2105]"
sample_type,carbonic anhydrase,10.1007/s13361-017-1702-3,10_1007_s13361-017-1702-3.pdf,"[2416, 2434]"
instrument,LTQ-FT Ultra FTMS,10.1007/s13361-017-1702-3,10_1007_s13361-017-1702-3.pdf,"[3308, 3325]"
software_tools,Predator,10.1007/s13361-017-1702-3,10_1007_s13361-017-1702-3.pdf,"[3741, 3749]"
sample_type,standard proteins,10.1007/s13361-017-1702-3,10_1007_s13361-017-1702-3.pdf,"[4568, 4585]"
instrument,mass spectrometer,10.1007/s13361-017-1702-3,10_1007_s13361-017-1702-3.pdf,"[5430, 5447]"
sample_type,proteins,10.1007/s13361-017-1702-3,10_1007_s13361-017-1702-3.pdf,"[4819, 4827]"
facility,University of Washington Proteomics Resource NSI source,10.1007/s13361-017-1702-3,10_1007_s13361-017-1702-3.pdf,"[5484, 5539]"
sample_type,Purified (low protein and nucleic acid content) and lyophilized LPS from E. coli J5 strain,10.1007/s13361-018-1897-y,10_1007_s13361-018-1897-y.pdf,"[31, 121]"
sample_type,OMP extracted from phenol-killed bacteria,10.1007/s13361-018-1897-y,10_1007_s13361-018-1897-y.pdf,"[1066, 1107]"
sample_type,J5 dLPS/group B meningococcal outer membrane protein (OMP) complex vaccine,10.1007/s13361-018-1897-y,10_1007_s13361-018-1897-y.pdf,"[990, 1064]"
instrument,Waters Synapt G2 HDMS,10.1007/s13361-018-1897-y,10_1007_s13361-018-1897-y.pdf,"[2938, 2973]"
ionization_method,negative polarity electrospray ionization (ESI),10.1007/s13361-018-1897-y,10_1007_s13361-018-1897-y.pdf,"[3119, 3166]"
sample_type,intact J5 LPS and J5 dLPS samples,10.1007/s13361-018-1897-y,10_1007_s13361-018-1897-y.pdf,"[2661, 2694]"
instrument,hybrid linear ion trap -21 Tesla Fourier transform-ion cyclotron resonance mass spectrometer,10.1007/s13361-018-1897-y,10_1007_s13361-018-1897-y.pdf,"[4689, 4763]"
ionization_method,nano-electrospray ionization (nESI),10.1007/s13361-018-1897-y,10_1007_s13361-018-1897-y.pdf,"[4608, 4643]"
sample_type,coli J5 LPS from Sigma Aldrich,10.1007/s13361-018-1897-y,10_1007_s13361-018-1897-y.pdf,"[4404, 4434]"
instrument,linear trapping quadrupole; LTQ mass spectrometer,10.1007/s13361-018-1897-y,10_1007_s13361-018-1897-y.pdf,"[5913, 5963]"
ionization_method,negative ionization,10.1007/s13361-018-1897-y,10_1007_s13361-018-1897-y.pdf,"[6121, 6140]"
sample_type,Intact E. coli J5 LPS,10.1007/s13361-018-1897-y,10_1007_s13361-018-1897-y.pdf,"[5638, 5659]"
instrument,LTQ,10.1007/s13361-018-1897-y,10_1007_s13361-018-1897-y.pdf,"[7229, 7232]"
software_tools,Inkscape v0.91,10.1007/s13361-018-1897-y,10_1007_s13361-018-1897-y.pdf,"[7543, 7551]"
instrument,Waters Xevo G2-XS quadrupole time-of-flight,10.1016/j.aca.2019.01.007,10_1016_j_aca_2019_01_007.pdf,"[100, 137]"
ionization_method,GC-APCI and GC-APPI,10.1016/j.aca.2019.01.007,10_1016_j_aca_2019_01_007.pdf,"[28, 47]"
sample_type,PBDE congeners (Br3-Br10),10.1016/j.aca.2019.01.007,10_1016_j_aca_2019_01_007.pdf,"[916, 926]"
ionization_method,APPI,10.1016/j.aca.2019.01.007,10_1016_j_aca_2019_01_007.pdf,"[1021, 1025]"
ionization_method,UV,10.1016/j.aca.2019.01.007,10_1016_j_aca_2019_01_007.pdf,"[2086, 2088]"
sample_type,GC eluent,10.1016/j.aca.2019.01.007,10_1016_j_aca_2019_01_007.pdf,"[1854, 1863]"
sample_type,photooxidation products,10.1016/j.aca.2019.01.007,10_1016_j_aca_2019_01_007.pdf,"[4472, 4495]"
instrument,Micromass Premier double-focussing magnetic sector mass spectrometer,10.1016/j.aca.2019.01.007,10_1016_j_aca_2019_01_007.pdf,"[4773, 4841]"
sample_type,samples,10.1016/j.aca.2019.01.007,10_1016_j_aca_2019_01_007.pdf,"[4661, 4667]"
ionization_method,GC-APCI/APPI,10.1016/j.aca.2019.01.007,10_1016_j_aca_2019_01_007.pdf,"[5590, 5602]"
facility,"NIST (National Institute of Standards and Technology), Gaithersburg, MD",10.1016/j.aca.2019.01.007,10_1016_j_aca_2019_01_007.pdf,"[5785, 5856]"
instrument,Orbitrap Fusion,10.1016/j.biortech.2020.123454,10_1016_j_biortech_2020_123454.pdf,"[5117, 5132]"
ionization_method,positive ion electrospray ionization (ESI),10.1016/j.biortech.2020.123454,10_1016_j_biortech_2020_123454.pdf,"[5595, 5637]"
sample_type,Heteroatom compound distributions in the bio-crude oils,10.1016/j.biortech.2020.123454,10_1016_j_biortech_2020_123454.pdf,"[4879, 4934]"
instrument,Varian CP-3800,10.1016/j.biortech.2020.123454,10_1016_j_biortech_2020_123454.pdf,"[5823, 5837]"
ionization_method,electron impact mass spectra,10.1016/j.biortech.2020.123454,10_1016_j_biortech_2020_123454.pdf,"[6140, 6168]"
sample_type,Bio-crude oils,10.1016/j.biortech.2020.123454,10_1016_j_biortech_2020_123454.pdf,"[5733, 5747]"
sample_type,Marine sediment,10.1016/j.bmcl.2016.03.099,10_1016_j_bmcl_2016_03_099.pdf,"[15320, 15335]"
facility,this lab,10.1016/j.bmcl.2016.03.099,10_1016_j_bmcl_2016_03_099.pdf,"[15307, 15315]"
sample_type,sand,10.1016/j.bmcl.2016.03.099,10_1016_j_bmcl_2016_03_099.pdf,"[16499, 16503]"
sample_type,iron-bryostatin-1,10.1016/j.bmcl.2016.03.099,10_1016_j_bmcl_2016_03_099.pdf,"[17243, 17260]"
sample_type,bryostatin-1,10.1016/j.bmcl.2016.03.099,10_1016_j_bmcl_2016_03_099.pdf,"[25446, 25458]"
sample_type,iron-bryostatin-1,10.1016/j.bmcl.2016.03.099,10_1016_j_bmcl_2016_03_099.pdf,"[25503, 25520]"
ionization_method,LC-MS,10.1016/j.bmcl.2016.03.099,10_1016_j_bmcl_2016_03_099.pdf,"[27156, 27161]"
sample_type,bryostatin-1 [Na-C47H68O17],10.1016/j.bmcl.2016.03.099,10_1016_j_bmcl_2016_03_099.pdf,"[27250, 27277]"
sample_type,material that was dissolved or suspended,10.1016/j.bmcl.2016.03.099,10_1016_j_bmcl_2016_03_099.pdf,"[28173, 28213]"
sample_type,Small cell lung cancer,10.1016/j.bmcl.2016.03.099,10_1016_j_bmcl_2016_03_099.pdf,"[33470, 33492]"
sample_type,Colon cancer,10.1016/j.bmcl.2016.03.099,10_1016_j_bmcl_2016_03_099.pdf,"[33582, 33594]"
sample_type,Prostate cancer,10.1016/j.bmcl.2016.03.099,10_1016_j_bmcl_2016_03_099.pdf,"[37838, 37853]"
sample_type,Breast cancer,10.1016/j.bmcl.2016.03.099,10_1016_j_bmcl_2016_03_099.pdf,"[38062, 38075]"
sample_type,iron-bryostatin-1,10.1016/j.bmcl.2016.03.099,10_1016_j_bmcl_2016_03_099.pdf,"[43319, 43336]"
sample_type,pure bryostatin-1,10.1016/j.bmcl.2016.03.099,10_1016_j_bmcl_2016_03_099.pdf,"[43878, 43895]"
sample_type,"The copper(II) cation, sucrose, and hydroxychloroquine",10.1016/j.bmcl.2017.04.070,10_1016_j_bmcl_2017_04_070.pdf,"[2499, 2553]"
sample_type,paclitaxel,10.1016/j.bmcl.2017.04.070,10_1016_j_bmcl_2017_04_070.pdf,"[2597, 2607]"
ionization_method,MALDI-TOF-MS,10.1016/j.bmcl.2017.04.070,10_1016_j_bmcl_2017_04_070.pdf,"[2936, 2948]"
sample_type,different complexes,10.1016/j.bmcl.2017.04.070,10_1016_j_bmcl_2017_04_070.pdf,"[2784, 2803]"
sample_type,Colon Cancer,10.1016/j.bmcl.2017.04.070,10_1016_j_bmcl_2017_04_070.pdf,"[7056, 7068]"
sample_type,Central Nervous System,10.1016/j.bmcl.2017.04.070,10_1016_j_bmcl_2017_04_070.pdf,"[8309, 8331]"
instrument,MALDI-TOF-MS,10.1016/j.bmcl.2017.04.070,10_1016_j_bmcl_2017_04_070.pdf,"[21191, 21203]"
ionization_method,MALDI-TOF-MS (MALDI),10.1016/j.bmcl.2017.04.070,10_1016_j_bmcl_2017_04_070.pdf,"[21191, 21205]"
sample_type,(C) Paclitaxel complexed with Cu(II) (green) and sucrose,10.1016/j.bmcl.2017.04.070,10_1016_j_bmcl_2017_04_070.pdf,"[21003, 21059]"
sample_type,iron-bryostatin-1 complex,10.1016/j.bmcl.2017.04.070,10_1016_j_bmcl_2017_04_070.pdf,"[34599, 34624]"
sample_type,paclitaxel,10.1016/j.bmcl.2017.04.070,10_1016_j_bmcl_2017_04_070.pdf,"[38221, 38231]"
instrument,custom-built 9.4 T FT-ICR mass spectrometer,10.1016/j.carbon.2017.12.056,10_1016_j_carbon_2017_12_056.pdf,"[516, 559]"
ionization_method,positive ions [29],10.1016/j.carbon.2017.12.056,10_1016_j_carbon_2017_12_056.pdf,"[622, 640]"
sample_type,Macroscopic samples of the pure metallic nitride clusterfullerene Sc3N@C80,10.1016/j.carbon.2017.12.056,10_1016_j_carbon_2017_12_056.pdf,"[1738, 1812]"
ionization_method,positive ions,10.1016/j.carbon.2017.12.056,10_1016_j_carbon_2017_12_056.pdf,"[2149, 2162]"
sample_type,water,10.1016/j.chemosphere.2019.125399,10_1016_j_chemosphere_2019_125399.pdf,"[1365, 1370]"
sample_type,media,10.1016/j.chemosphere.2019.125399,10_1016_j_chemosphere_2019_125399.pdf,"[1375, 1380]"
sample_type,stormwater,10.1016/j.chemosphere.2019.125399,10_1016_j_chemosphere_2019_125399.pdf,"[1576, 1586]"
sample_type,nitrate standard solution,10.1016/j.chemosphere.2019.125399,10_1016_j_chemosphere_2019_125399.pdf,"[1630, 1655]"
sample_type,glucose,10.1016/j.chemosphere.2019.125399,10_1016_j_chemosphere_2019_125399.pdf,"[1683, 1690]"
sample_type,Water samples,10.1016/j.chemosphere.2019.125399,10_1016_j_chemosphere_2019_125399.pdf,"[3101, 3114]"
sample_type,Rhodamine dye,10.1016/j.chemosphere.2019.125399,10_1016_j_chemosphere_2019_125399.pdf,"[4235, 4248]"
sample_type,water samples,10.1016/j.chemosphere.2019.125399,10_1016_j_chemosphere_2019_125399.pdf,"[4491, 4504]"
instrument,fl uorometer (AquaFlour model: 80000-010),10.1016/j.chemosphere.2019.125399,10_1016_j_chemosphere_2019_125399.pdf,"[4630, 4671]"
sample_type,Water samples,10.1016/j.chemosphere.2019.125399,10_1016_j_chemosphere_2019_125399.pdf,"[6930, 6943]"
instrument,custom-built FT-ICR-MS,10.1016/j.chemosphere.2019.125399,10_1016_j_chemosphere_2019_125399.pdf,"[7615, 7637]"
sample_type,DOM extracts,10.1016/j.chemosphere.2019.125399,10_1016_j_chemosphere_2019_125399.pdf,"[7574, 7586]"
facility,National High Magnetic Field Laboratory at the Florida State University (FSU),10.1016/j.chemosphere.2019.125399,10_1016_j_chemosphere_2019_125399.pdf,"[7476, 7553]"
instrument,FT-ICR-MS,10.1016/j.chemosphere.2019.125399,10_1016_j_chemosphere_2019_125399.pdf,"[8569, 8578]"
sample_type,"elemental composition, CcHhNnOoSs",10.1016/j.chemosphere.2019.125399,10_1016_j_chemosphere_2019_125399.pdf,"[8235, 8268]"
sample_type,water,10.1016/j.chemosphere.2024.142042,10_1016_j_chemosphere_2024_142042.pdf,"[268, 273]"
sample_type,media samples,10.1016/j.chemosphere.2024.142042,10_1016_j_chemosphere_2024_142042.pdf,"[319, 332]"
facility,bioenvironmental research laboratory at UCF,10.1016/j.chemosphere.2024.142042,10_1016_j_chemosphere_2024_142042.pdf,"[867, 910]"
sample_type,"DON, the N-bearing organic component",10.1016/j.chemosphere.2024.142042,10_1016_j_chemosphere_2024_142042.pdf,"[987, 1023]"
instrument,FT-ICR MS,10.1016/j.chemosphere.2024.142042,10_1016_j_chemosphere_2024_142042.pdf,"[2685, 2694]"
ionization_method,Negative-ion electrospray ionization,10.1016/j.chemosphere.2024.142042,10_1016_j_chemosphere_2024_142042.pdf,"[2648, 2684]"
facility,National High Magnetic Field Laboratory,10.1016/j.chemosphere.2024.142042,10_1016_j_chemosphere_2024_142042.pdf,"[2755, 2794]"
instrument,custom-built hybrid linear ion trap FT-ICR mass spectrometer,10.1016/j.chemosphere.2024.142042,10_1016_j_chemosphere_2024_142042.pdf,"[3162, 3222]"
software_tools,PetroOrg,10.1016/j.chemosphere.2024.142042,10_1016_j_chemosphere_2024_142042.pdf,"[3536, 3544]"
instrument,AVIV 410 CD spectrometer,10.1016/j.chempr.2017.07.011,10_1016_j_chempr_2017_07_011.pdf,"[77, 101]"
sample_type,Circular dichroism spectra,10.1016/j.chempr.2017.07.011,10_1016_j_chempr_2017_07_011.pdf,"[28, 54]"
dataset_accession,CCDC: 1561087,10.1016/j.chempr.2017.07.011,10_1016_j_chempr_2017_07_011.pdf,"[1292, 1305]"
dataset_accession,CCDC: 1561089,10.1016/j.chempr.2017.07.011,10_1016_j_chempr_2017_07_011.pdf,"[1292, 1314]"
dataset_accession,CCDC: 1561093,10.1016/j.chempr.2017.07.011,10_1016_j_chempr_2017_07_011.pdf,"[1292, 1323]"
dataset_accession,CCDC: 1561091,10.1016/j.chempr.2017.07.011,10_1016_j_chempr_2017_07_011.pdf,"[1292, 1332]"
instrument,Fourier transform ion cyclotron resonance,10.1016/j.chempr.2017.07.011,10_1016_j_chempr_2017_07_011.pdf,"[2250, 2291]"
ionization_method,ESI,10.1016/j.chroma.2016.10.005,10_1016_j_chroma_2016_10_005.pdf,"[849, 852]"
sample_type,Suwannee River fulvic acid,10.1016/j.chroma.2016.10.005,10_1016_j_chroma_2016_10_005.pdf,"[1656, 1682]"
ionization_method,ESI,10.1016/j.chroma.2016.10.005,10_1016_j_chroma_2016_10_005.pdf,"[5288, 5291]"
instrument,4 T ESI-FT mass spectrometer,10.1016/j.chroma.2016.10.005,10_1016_j_chroma_2016_10_005.pdf,"[5751, 5779]"
instrument,LTQ Velos ion trap mass spectrometer,10.1016/j.chroma.2016.10.005,10_1016_j_chroma_2016_10_005.pdf,"[8186, 8222]"
ionization_method,ESI-MS/MS,10.1016/j.chroma.2016.10.005,10_1016_j_chroma_2016_10_005.pdf,"[7941, 7950]"
ionization_method,LC-ESI,10.1016/j.chroma.2016.10.005,10_1016_j_chroma_2016_10_005.pdf,"[8814, 8820]"
ionization_method,ESI,10.1016/j.chroma.2016.10.005,10_1016_j_chroma_2016_10_005.pdf,"[9397, 9400]"
sample_type,Standards,10.1016/j.chroma.2016.10.005,10_1016_j_chroma_2016_10_005.pdf,"[9304, 9313]"
sample_type,Guayule resin,10.1016/j.dib.2020.105989,10_1016_j_dib_2020_105989.pdf,"[51, 64]"
facility,"Bridgestone Americas Biorubber Processing Research Center (Mesa, AZ)",10.1016/j.dib.2020.105989,10_1016_j_dib_2020_105989.pdf,"[137, 205]"
instrument,"GC-MS system (7890A, Agilent Technologies)",10.1016/j.dib.2020.105989,10_1016_j_dib_2020_105989.pdf,"[1210, 1252]"
ionization_method,EI,10.1016/j.dib.2020.105989,10_1016_j_dib_2020_105989.pdf,"[1605, 1607]"
sample_type,Guayule resin,10.1016/j.dib.2020.105989,10_1016_j_dib_2020_105989.pdf,"[1019, 1032]"
ionization_method,GC-MS,10.1016/j.dib.2020.105989,10_1016_j_dib_2020_105989.pdf,"[1939, 1944]"
sample_type,Guayule resin,10.1016/j.dib.2020.105989,10_1016_j_dib_2020_105989.pdf,"[2121, 2134]"
sample_type,camphene,10.1016/j.dib.2020.105989,10_1016_j_dib_2020_105989.pdf,"[2949, 2957]"
sample_type,"thuja-2,4(10)-diene",10.1016/j.dib.2020.105989,10_1016_j_dib_2020_105989.pdf,"[3086, 3105]"
sample_type,sabinene,10.1016/j.dib.2020.105989,10_1016_j_dib_2020_105989.pdf,"[3223, 3231]"
sample_type,beta-pinene,10.1016/j.dib.2020.105989,10_1016_j_dib_2020_105989.pdf,"[3360, 3371]"
sample_type,myrcene,10.1016/j.dib.2020.105989,10_1016_j_dib_2020_105989.pdf,"[3497, 3504]"
sample_type,alpha-phellandrene,10.1016/j.dib.2020.105989,10_1016_j_dib_2020_105989.pdf,"[3634, 3652]"
sample_type,o-cymene,10.1016/j.dib.2020.105989,10_1016_j_dib_2020_105989.pdf,"[3771, 3779]"
sample_type,limonene,10.1016/j.dib.2020.105989,10_1016_j_dib_2020_105989.pdf,"[3908, 3916]"
sample_type,beta-phellandrene,10.1016/j.dib.2020.105989,10_1016_j_dib_2020_105989.pdf,"[4045, 4062]"
sample_type,beta-ocimene,10.1016/j.dib.2020.105989,10_1016_j_dib_2020_105989.pdf,"[4182, 4194]"
sample_type,terpinolene,10.1016/j.dib.2020.105989,10_1016_j_dib_2020_105989.pdf,"[4319, 4330]"
sample_type,cis-pinocarveol,10.1016/j.dib.2020.105989,10_1016_j_dib_2020_105989.pdf,"[4456, 4471]"
sample_type,trans-pinocamphone,10.1016/j.dib.2020.105989,10_1016_j_dib_2020_105989.pdf,"[4593, 4611]"
sample_type,lavandulol,10.1016/j.dib.2020.105989,10_1016_j_dib_2020_105989.pdf,"[4730, 4740]"
sample_type,borneol,10.1016/j.dib.2020.105989,10_1016_j_dib_2020_105989.pdf,"[4867, 4874]"
sample_type,thuj-3-en-10-al,10.1016/j.dib.2020.105989,10_1016_j_dib_2020_105989.pdf,"[5004, 5019]"
sample_type,verbenone,10.1016/j.dib.2020.105989,10_1016_j_dib_2020_105989.pdf,"[5141, 5150]"
sample_type,carvone,10.1016/j.dib.2020.105989,10_1016_j_dib_2020_105989.pdf,"[5278, 5285]"
sample_type,phellandral,10.1016/j.dib.2020.105989,10_1016_j_dib_2020_105989.pdf,"[5415, 5426]"
sample_type,lavandulyl acetate,10.1016/j.dib.2020.105989,10_1016_j_dib_2020_105989.pdf,"[5552, 5570]"
sample_type,delta-elemene,10.1016/j.dib.2020.105989,10_1016_j_dib_2020_105989.pdf,"[5689, 5702]"
instrument,negative-ion APPI FT-ICR MS,10.1016/j.dib.2020.105989,10_1016_j_dib_2020_105989.pdf,"[9194, 9221]"
instrument,positive-ion APPI FT-ICR MS,10.1016/j.dib.2020.105989,10_1016_j_dib_2020_105989.pdf,"[18930, 18957]"
sample_type,guayule resin,10.1016/j.dib.2020.105989,10_1016_j_dib_2020_105989.pdf,"[18913, 18926]"
instrument,custom-built 9.4 T FT-ICR MS,10.1016/j.dib.2020.105989,10_1016_j_dib_2020_105989.pdf,"[20232, 20260]"
sample_type,Guayule resin,10.1016/j.dib.2020.105989,10_1016_j_dib_2020_105989.pdf,"[20198, 20211]"
facility,National High Magnetic Field Laboratory,10.1016/j.dib.2020.105989,10_1016_j_dib_2020_105989.pdf,"[20268, 20307]"
ionization_method,atmospheric pressure photoionization,10.1016/j.dib.2020.105989,10_1016_j_dib_2020_105989.pdf,"[20309, 20345]"
sample_type,Guayule resin,10.1016/j.dib.2020.105989,10_1016_j_dib_2020_105989.pdf,"[20473, 20486]"
ionization_method,positive-ion APPI,10.1016/j.dib.2020.105989,10_1016_j_dib_2020_105989.pdf,"[21427, 21444]"
sample_type,guayule resin,10.1016/j.dib.2020.105989,10_1016_j_dib_2020_105989.pdf,"[21401, 21414]"
ionization_method,negative-ion APPI FT-ICR,10.1016/j.dib.2020.105989,10_1016_j_dib_2020_105989.pdf,"[22354, 22378]"
sample_type,guayule resin,10.1016/j.dib.2020.105989,10_1016_j_dib_2020_105989.pdf,"[22335, 22348]"
sample_type,vegetation and soil variables,10.1016/j.ecolind.2024.111884,10_1016_j_ecolind_2024_111884.pdf,"[1169, 1198]"
sample_type,Soil samples,10.1016/j.ecolind.2024.111884,10_1016_j_ecolind_2024_111884.pdf,"[2372, 2384]"
facility,the laboratory,10.1016/j.ecolind.2024.111884,10_1016_j_ecolind_2024_111884.pdf,"[2633, 2648]"
instrument,Illumina MiSeq,10.1016/j.ecolind.2024.111884,10_1016_j_ecolind_2024_111884.pdf,"[4745, 4759]"
facility,"Institute of Environmental Genomics, University of Oklahoma",10.1016/j.ecolind.2024.111884,10_1016_j_ecolind_2024_111884.pdf,"[4767, 4826]"
software_tools,"R, phyloseq library",10.1016/j.ecolind.2024.111884,10_1016_j_ecolind_2024_111884.pdf,"[5924, 5978]"
ionization_method,GC/MS,10.1016/j.epsl.2020.116411,10_1016_j_epsl_2020_116411.pdf,"[896, 901]"
sample_type,"oil samples from a reservoir, seafloor vent, and surface oil slick",10.1016/j.epsl.2020.116411,10_1016_j_epsl_2020_116411.pdf,"[924, 990]"
instrument,Kongsberg GeoAcoustics subbottom profiler,10.1016/j.epsl.2020.116411,10_1016_j_epsl_2020_116411.pdf,"[3891, 3932]"
instrument,Kongsberg EM2000 multibeam echosounder,10.1016/j.epsl.2020.116411,10_1016_j_epsl_2020_116411.pdf,"[5669, 5707]"
sample_type,bathymetry and co-registered backscatter data,10.1016/j.epsl.2020.116411,10_1016_j_epsl_2020_116411.pdf,"[5578, 5623]"
sample_type,Oil samples,10.1016/j.epsl.2020.116411,10_1016_j_epsl_2020_116411.pdf,"[10330, 10341]"
instrument,Global Explorer ROV,10.1016/j.epsl.2020.116411,10_1016_j_epsl_2020_116411.pdf,"[10675, 10694]"
instrument,gas chromatography/atmospheric pressure chemical ionization mass spectrometer (GC/APCI-MS),10.1016/j.epsl.2020.116411,10_1016_j_epsl_2020_116411.pdf,"[11428, 11518]"
sample_type,petroleum samples,10.1016/j.epsl.2020.116411,10_1016_j_epsl_2020_116411.pdf,"[12037, 12054]"
sample_type,pore water samples,10.1016/j.gca.2016.05.015,10_1016_j_gca_2016_05_015.pdf,"[6272, 6290]"
facility,Stordalen,10.1016/j.gca.2016.05.015,10_1016_j_gca_2016_05_015.pdf,"[6355, 6364]"
instrument,Shimadzu Total Organic Carbon analyzer,10.1016/j.gca.2016.05.015,10_1016_j_gca_2016_05_015.pdf,"[7359, 7397]"
sample_type,Dissolved organic carbon (DOC),10.1016/j.gca.2016.05.015,10_1016_j_gca_2016_05_015.pdf,"[7254, 7284]"
instrument,custom-built Fourier transform ion cyclotron resonance mass spectrometer,10.1016/j.gca.2016.05.015,10_1016_j_gca_2016_05_015.pdf,"[8272, 8344]"
sample_type,extracted samples,10.1016/j.gca.2016.05.015,10_1016_j_gca_2016_05_015.pdf,"[8235, 8252]"
facility,National High Magnetic Field Laboratory (NHMFL),10.1016/j.gca.2016.05.015,10_1016_j_gca_2016_05_015.pdf,"[8404, 8451]"
ionization_method,electrospray ionization (ESI),10.1016/j.gca.2016.05.015,10_1016_j_gca_2016_05_015.pdf,"[8538, 8567]"
instrument,Cary Varian 100 dual beam UV/Vis spectrometer,10.1016/j.gca.2016.05.015,10_1016_j_gca_2016_05_015.pdf,"[9889, 9934]"
sample_type,pore water sample,10.1016/j.gca.2016.05.015,10_1016_j_gca_2016_05_015.pdf,"[9830, 9847]"
instrument,Jobin Yvon SPEX Fluoromax-4 spectrometer,10.1016/j.gca.2016.05.015,10_1016_j_gca_2016_05_015.pdf,"[11437, 11477]"
software_tools,MIDAS Predator Analysis and Molecular Formula Calculator,10.1016/j.gca.2016.05.015,10_1016_j_gca_2016_05_015.pdf,"[11929, 11985]"
sample_type,13 C isotopologues of the same molecule,10.1016/j.gca.2016.05.015,10_1016_j_gca_2016_05_015.pdf,"[13114, 13153]"
sample_type,UV/Vis absorbance spectra,10.1016/j.gca.2016.05.015,10_1016_j_gca_2016_05_015.pdf,"[16746, 16771]"
software_tools,FL Toolbox 1.91 in MATLAB,10.1016/j.gca.2016.05.015,10_1016_j_gca_2016_05_015.pdf,"[17105, 17120]"
instrument,FT-ICR MS,10.1016/j.gca.2016.05.015,10_1016_j_gca_2016_05_015.pdf,"[18166, 18175]"
ionization_method,FT-ICR MS,10.1016/j.gca.2016.05.015,10_1016_j_gca_2016_05_015.pdf,"[18786, 18795]"
sample_type,DOM pool,10.1016/j.gca.2016.05.015,10_1016_j_gca_2016_05_015.pdf,"[20002, 20010]"
ionization_method,UV absorbance,10.1016/j.gca.2016.05.015,10_1016_j_gca_2016_05_015.pdf,"[19569, 19582]"
ionization_method,FT-ICR MS,10.1016/j.gca.2016.05.015,10_1016_j_gca_2016_05_015.pdf,"[23413, 23422]"
instrument,FT-ICR MS,10.1016/j.gca.2016.05.015,10_1016_j_gca_2016_05_015.pdf,"[25273, 25282]"
sample_type,samples,10.1016/j.gca.2018.10.012,10_1016_j_gca_2018_10_012.pdf,"[4091, 4098]"
instrument,custom-built 9.4 T FT-ICR MS,10.1016/j.gca.2018.10.012,10_1016_j_gca_2018_10_012.pdf,"[5936, 5964]"
ionization_method,electrospray ionization (ESI),10.1016/j.gca.2018.10.012,10_1016_j_gca_2018_10_012.pdf,"[6219, 6248]"
sample_type,natural samples,10.1016/j.gca.2018.10.012,10_1016_j_gca_2018_10_012.pdf,"[6579, 6594]"
sample_type,peptide-like,10.1016/j.gca.2018.10.012,10_1016_j_gca_2018_10_012.pdf,"[8501, 8513]"
software_tools,Geographic Resources Analysis Support System (GRASS v7.2),10.1016/j.gca.2018.10.012,10_1016_j_gca_2018_10_012.pdf,"[9737, 9781]"
instrument,FT-ICR MS,10.1016/j.gca.2018.10.012,10_1016_j_gca_2018_10_012.pdf,"[11106, 11115]"
sample_type,DOC concentration/composition,10.1016/j.gca.2018.10.012,10_1016_j_gca_2018_10_012.pdf,"[10744, 10773]"
sample_type,Quaternary alluvial sediment (gravels and clays) overlying Permian volcanics and coal measures,10.1016/j.gca.2020.01.022,10_1016_j_gca_2020_01_022.pdf,"[3002, 3096]"
sample_type,Surface water samples,10.1016/j.gca.2020.01.022,10_1016_j_gca_2020_01_022.pdf,"[5966, 5987]"
sample_type,shallow groundwater samples,10.1016/j.gca.2020.01.022,10_1016_j_gca_2020_01_022.pdf,"[6057, 6084]"
sample_type,deeper groundwater samples,10.1016/j.gca.2020.01.022,10_1016_j_gca_2020_01_022.pdf,"[6301, 6327]"
sample_type,Groundwater samples,10.1016/j.gca.2020.01.022,10_1016_j_gca_2020_01_022.pdf,"[6598, 6617]"
sample_type,Samples,10.1016/j.gca.2020.01.022,10_1016_j_gca_2020_01_022.pdf,"[7422, 7429]"
facility,Australian Nuclear Science and Technology Organisation (ANSTO),10.1016/j.gca.2020.01.022,10_1016_j_gca_2020_01_022.pdf,"[7488, 7550]"
instrument,Perkin Elmer Quantulus TM,10.1016/j.gca.2020.01.022,10_1016_j_gca_2020_01_022.pdf,"[8764, 8789]"
sample_type,"Samples, standards and blanks",10.1016/j.gca.2020.01.022,10_1016_j_gca_2020_01_022.pdf,"[8457, 8486]"
facility,ANSTO,10.1016/j.gca.2020.01.022,10_1016_j_gca_2020_01_022.pdf,"[9040, 9045]"
instrument,O.I. Analytical Model 1030 Total Organic Carbon Analyzer,10.1016/j.gca.2020.01.022,10_1016_j_gca_2020_01_022.pdf,"[9243, 9299]"
sample_type,Samples for d 13 CDOC,10.1016/j.gca.2020.01.022,10_1016_j_gca_2020_01_022.pdf,"[9158, 9193]"
facility,UC Davis Stable Isotope Facility,10.1016/j.gca.2020.01.022,10_1016_j_gca_2020_01_022.pdf,"[9201, 9233]"
instrument,Perkin Elmer Optima 7300 inductively coupled plasma (ICP) optical emission spectrometer,10.1016/j.gca.2020.01.022,10_1016_j_gca_2020_01_022.pdf,"[10339, 10426]"
